Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 12:08:40	334	566	4	0	0.5	0	0	7.5	0.5	0	0	6	0.5	0	0	6.5	0.5	0	0	5	0.5	0.478		27.5517	327.532	3.62209	0	131.465	0.225271	2386.28	1		0.0708984	12.0439	49.4731	0	54.7665	-1.57021	
2026-08-14 12:09:26	341	567	4	0	1.5	0	0	7.5	1.5	0	0	4	1.5	0	0	4.5	1.5	0	0	4	1.5	1.366		31.2891	287.889	0.451563	0	14.432	0.0707788	1202.69	1		0.0708984	12.1148	49.2132	0	54.7664	-1.57021	
2026-08-14 12:09:07	338	568	2	0	1	0	0	7.5	1	0	0	5	1	0	0	5.5	1	0	0	4.5	1	0.951		24.6927	370.706	0.563899	0	22.8367	0.171464	1214.12	1		0.0708984	12.1148	49.3432	0	54.7665	-1.57021	
2026-08-14 12:09:33	342	569	2	0	1.5	0	0	7.5	1.5	0	0	5	1.5	0	0	5.5	1.5	0	0	4.5	1.5	0.951		31.4125	288.283	0.505591	0	16.0952	0.0560863	855.708	1		0.0708984	12.0439	49.2132	0	54.7664	-1.57022	
2026-08-14 12:08:40	334	570	3	0	0.5	0	0	7.5	0.5	0	0	5.5	0.5	0	0	6	0.5	0	0	4.75	0.5	0.706		27.5517	327.532	1.51309	0	54.9182	0.258679	1897.84	1		0.0708984	12.0439	49.4731	0	54.7665	-1.57021	
2026-08-14 12:11:17	360	571	1	0	0	0	0	1.5	1.5	0	0	0.5	0.5	0	0	1	1	0	0	0.75	0.75	0.367		27.4271	335.595	6.76936	0	246.812	0.313741	1096.56	1		0.0708984	12.1236	48.6935	0	54.7664	-1.57016	
2026-08-14 12:07:59	328	572	1	0	0	0	0	7.5	0	0	0	0.5	0	0	0	1	0	0	0	2.25	0	0.262		21.8282	422.775	9.26411	0	424.411	0.265182	2637.67	1		0.0708984	12.1679	49.733	0	54.7665	-1.57021	
2026-08-14 12:08:28	332	573	3	0	0.5	0	0	7.5	0.5	0	0	1.5	0.5	0	0	2	0.5	0	0	2.75	0.5	0.706		27.6678	329.815	1.20198	0	43.4431	0.361284	1501.29	1		0.0708984	12.1236	49.6031	0	54.7665	-1.57021	
2026-08-14 12:15:55	409	574	1	4	1	0	0	4.5	0.5	0	0	3.5	1.5	0	0	5	0	0	0	4.25	0.75	0.367		38.0203	241.424	9.58401	0	252.076	0.245664	1119.95	1		0.0708984	12.1148	48.0437	0	54.7664	-1.57019	
2026-08-14 12:15:38	406	575	1	1.5	1	0	0	2	0.5	0	0	1	1.5	0	0	2.5	0	0	0	1.75	0.75	0.367		23.2813	411.042	5.87985	0	252.557	0.317865	1122.08	1		0.0708984	12.1148	47.9138	0	54.7665	-1.5702	
2026-08-14 12:09:00	337	576	4	0	1	0	0	7.5	1	0	0	4	1	0	0	4.5	1	0	0	4	1	1.366		24.6947	371.431	0.400945	0	16.2361	0.0994762	1353.03	1		0.0708984	12.1148	49.4731	0	54.7665	-1.57021	
2026-08-14 12:09:20	340	577	3	0	1.5	0	0	7.5	1.5	0	0	1.5	1.5	0	0	2	1.5	0	0	2.75	1.5	0.706		31.2924	289.419	0.789054	0	25.2155	0.336876	871.386	1		0.0708984	12.1148	49.2132	0	54.7664	-1.57021	
2026-08-14 12:08:11	329	578	1	0	0	0	0	7.5	0	0	0	2.5	0	0	0	3	0	0	0	3.25	0	1.19		21.8301	423.135	0.510732	0	23.3958	0.174261	1653.75	1		0.0708984	12.0793	49.733	0	54.7665	-1.57021	
2026-08-14 12:12:36	374	579	1	0.5	1.5	0	0	2	0	0	0	1	1	0	0	1.5	0.5	0	0	1.25	0.75	0.367		37.0005	246.815	9.05671	0	244.772	0.330208	1087.5	1		0.0708984	12.1148	48.4336	0	54.7664	-1.57016	
2026-08-14 12:09:33	342	580	4	0	1.5	0	0	7.5	1.5	0	0	6	1.5	0	0	6.5	1.5	0	0	5	1.5	0.478		31.4125	288.283	1.27126	0	40.4699	0.0976018	734.587	1		0.0708984	12.0439	49.2132	0	54.7664	-1.57022	
2026-08-14 12:09:07	338	581	3	0	1	0	0	7.5	1	0	0	5.5	1	0	0	6	1	0	0	4.75	1	0.706		24.6927	370.706	0.95862	0	38.822	0.0948946	1341.59	1		0.0708984	12.1148	49.3432	0	54.7665	-1.57021	
2026-08-14 12:14:41	396	582	1	6.5	1.5	0	0	7	1.5	0	0	0	1.5	0	0	7.5	1.5	0	0	5.25	1.5	0.262		28.3174	324.463	3.50298	0	123.704	0.266316	768.809	1		0.0708984	12.1236	48.1737	0	54.7664	-1.57016	
2026-08-14 12:08:53	336	583	4	0	1	0	0	7.5	1	0	0	2	1	0	0	2.5	1	0	0	3	1	0.951		24.6349	370.872	0.554647	0	22.5147	0.199562	1197	1		0.0708984	12.1236	49.4731	0	54.7665	-1.5702	
2026-08-14 12:09:26	341	584	2	0	1.5	0	0	7.5	1.5	0	0	3	1.5	0	0	3.5	1.5	0	0	3.5	1.5	1.366		31.2891	287.889	0.381309	0	12.1867	0.16845	1015.57	1		0.0708984	12.1148	49.2132	0	54.7664	-1.57021	
