Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 12:17:18	416	684	1	0	0.5	0	0	7.5	0.5	0	0	4.5	0.5	0	0	5	0.5	0	0	4.25	0.5	1.19		27.7832	328.703	0.643741	0	23.1702	0.0700456	1637.8	1		0.0708984	12.1148	48.5635	0	54.7664	-1.57019	
2026-08-14 12:17:30	418	685	3	0	1	0	0	7.5	1	0	0	1.5	1	0	0	2	1	0	0	2.75	1	0.706		24.5073	373.988	0.921512	0	37.6016	0.263097	1299.42	1		0.0708984	12.1148	48.6935	0	54.7664	-1.57019	
2026-08-14 12:17:06	414	686	1	0	0.5	0	0	7.5	0.5	0	0	0.5	0.5	0	0	1	0.5	0	0	2.25	0.5	0.262		27.72	328.848	5.18189	0	186.937	0.284935	1161.79	1		0.0708984	12.1236	48.8234	0	54.7664	-1.57019	
2026-08-14 12:18:42	430	687	1	2	0	0	0	2	1.5	0	0	2	0.5	0	0	2	1	0	0	2	0.75	0.259		34.366	266.138	8.83988	0	257.227	0.326878	808.103	1		0.0708984	12.1148	48.4336	0	54.7664	-1.5702	
2026-08-14 12:17:01	413	688	1	0	0	0	0	7.5	0	0	0	6.5	0	0	0	7	0	0	0	5.25	0	0.262		21.6513	420.988	8.46904	0	391.156	0.287111	2430.99	1		0.0708984	12.1148	48.8234	0	54.7664	-1.57019	
2026-08-14 12:16:39	410	689	3	0	0	0	0	7.5	0	0	0	1.5	0	0	0	2	0	0	0	2.75	0	0.706		21.8243	424.533	1.3868	0	63.5436	0.291189	2195.91	1		0.0708984	12.1591	48.8234	0	54.7664	-1.57018	
2026-08-14 12:17:30	418	690	2	0	1	0	0	7.5	1	0	0	1	1	0	0	1.5	1	0	0	2.5	1	0.478		24.5073	373.988	1.26559	0	51.6413	0.135634	937.364	1		0.0708984	12.1148	48.6935	0	54.7664	-1.57019	
2026-08-14 12:16:55	412	691	4	0	0	0	0	7.5	0	0	0	6	0	0	0	6.5	0	0	0	5	0	0.478		21.6506	421.078	2.6941	0	124.435	0.271957	2258.68	1		0.0708984	12.0616	48.8234	0	54.7664	-1.57019	
2026-08-14 12:17:11	415	692	1	0	0.5	0	0	7.5	0.5	0	0	2.5	0.5	0	0	3	0.5	0	0	3.25	0.5	1.19		27.6625	327.537	0.628284	0	22.7125	0.0102706	1605.45	1		0.0708984	12.0439	48.6935	0	54.7664	-1.57019	
2026-08-14 12:18:48	431	693	1	2.5	0	0	0	2.5	1.5	0	0	2.5	0.5	0	0	2.5	1	0	0	2.5	0.75	0.259		35.5049	257.96	11.0478	0	311.163	0.322547	977.549	1		0.0708984	12.1059	48.4336	0	54.7664	-1.5702	
2026-08-14 12:17:50	421	694	1	0	1	0	0	7.5	1	0	0	6.5	1	0	0	7	1	0	0	5.25	1	0.262		24.5073	373.215	4.6643	0	190.323	0.265588	1182.84	1		0.0708984	12.0439	48.5635	0	54.7664	-1.57017	
2026-08-14 12:16:55	412	695	3	0	0	0	0	7.5	0	0	0	5.5	0	0	0	6	0	0	0	4.75	0	0.706		21.6506	421.078	1.37931	0	63.7076	0.280331	2201.58	1		0.0708984	12.0616	48.8234	0	54.7664	-1.57019	
2026-08-14 12:19:28	438	696	1	6	0	0	0	6	1.5	0	0	6	0.5	0	0	6	1	0	0	6	0.75	0.259		20.0183	432.837	8.03379	0	401.323	0.265109	1260.79	1		0.0708984	12.1148	48.3036	0	54.7664	-1.57016	
2026-08-14 12:17:37	419	697	2	0	1	0	0	7.5	1	0	0	3	1	0	0	3.5	1	0	0	3.5	1	1.366		24.5042	373.854	0.3944	0	16.0952	0.201201	1341.29	1		0.0708984	12.0439	48.6935	0	54.7664	-1.57018	
2026-08-14 12:16:55	412	698	2	0	0	0	0	7.5	0	0	0	5	0	0	0	5.5	0	0	0	4.5	0	0.951		21.6506	421.078	0.821009	0	37.9208	0.261818	2016.08	1		0.0708984	12.0616	48.8234	0	54.7664	-1.57019	
2026-08-14 12:18:31	428	699	1	1	0	0	0	1	1.5	0	0	1	0.5	0	0	1	1	0	0	1	0.75	0.259		31.954	287.09	10.507	0	328.815	0.376502	1033	1		0.0708984	12.1148	48.4336	0	54.7664	-1.5702	
2026-08-14 12:17:44	420	700	1	0	1	0	0	7.5	1	0	0	4.5	1	0	0	5	1	0	0	4.25	1	1.19		24.507	373.155	0.525483	0	21.4421	0.278235	1515.66	1		0.0708984	12.1148	48.4336	0	54.7664	-1.57018	
2026-08-14 12:17:06	414	701	4	0	0.5	0	0	7.5	0.5	0	0	2	0.5	0	0	2.5	0.5	0	0	3	0.5	0.951		27.72	328.848	0.611949	0	22.0761	0.294382	1173.68	1		0.0708984	12.1236	48.8234	0	54.7664	-1.57019	
