Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 11:34:31	147	171	1	7.5	0.5	0	0	7.5	1	0	0	7.5	0	0	0	7.5	1.5	0	0	7.5	0.75	0.259		22.7399	407.583	14.47	0	636.325	0.232124	1999.08	1		0.0708984	12.1325	47.394	0	54.7665	-1.57015	
2026-08-14 11:33:52	140	172	1	0.5	1	0	0	1	1	0	0	0	1	0	0	7.5	1	0	0	2.25	1	0.262		35.3162	259.399	3.59765	0	101.87	0.30561	633.11	1		0.0708984	12.1325	47.5239	0	54.7665	-1.57016	
2026-08-14 11:33:46	139	173	1	6	0.5	0	0	6.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	5	0.5	0.478		26.8241	339.37	3.03443	0	113.123	0.270476	2053.35	1		0.0620361	12.1414	47.394	0	54.7665	-1.57016	
2026-08-14 11:33:35	137	174	1	5	0.5	0	0	5.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	4.5	0.5	0.951		25.5422	359.529	0.868012	0	33.9835	0.34124	1806.75	1		0.0708984	12.1325	47.394	0	54.7665	-1.57018	
2026-08-14 11:33:57	141	175	1	0.5	1.5	0	0	1	1.5	0	0	0	1.5	0	0	7.5	1.5	0	0	2.25	1.5	0.262		39.3635	232.308	3.27252	0	83.1358	0.310967	516.68	1		0.0708984	12.1325	47.394	0	54.7665	-1.57016	
2026-08-14 11:33:18	134	176	1	4	0	0	0	4.5	0	0	0	0	0	0	0	7.5	0	0	0	4	0	1.366		34.5969	274.788	0.804097	0	23.2419	0.380875	1936.86	1		0.0708984	12.1325	47.5239	0	54.7665	-1.57021	
2026-08-14 11:33:13	133	177	1	3.5	0	0	0	4	0	0	0	0	0	0	0	7.5	0	0	0	3.75	0	1.431		33.4526	267.518	0.680874	0	20.3534	0.85041	1790.38	1		0.0708984	12.1325	47.5239	0	54.7665	-1.57021	
2026-08-14 11:33:07	132	178	1	3	0	0	0	3.5	0	0	0	0	0	0	0	7.5	0	0	0	3.5	0	1.366		31.4666	290.482	0.675418	0	21.4646	1.86968	1788.75	1		0.0708984	12.1414	47.5239	0	54.7665	-1.57021	
2026-08-14 11:33:01	131	179	1	0.5	0	0	0	1	0	0	0	0	0	0	0	7.5	0	0	0	2.25	0	0.262		25.4207	363.21	10.8232	0	425.762	0.250921	2646.06	1		0.0708984	12.1325	47.5239	0	54.7665	-1.57021	
2026-08-14 11:32:56	130	180	1	7.5	0	0	0	7.5	1.5	0	0	7.5	0.5	0	0	7.5	1	0	0	7.5	0.75	0.259		24.633	375.515	15.7108	0	637.795	0.228644	2003.69	1		0.0708984	12.1414	47.5239	0	54.7665	-1.57022	
2026-08-14 11:32:44	128	181	1	6.5	0	0	0	6.5	1.5	0	0	6.5	0.5	0	0	6.5	1	0	0	6.5	0.75	0.259		27.3679	335.499	13.6073	0	497.2	0.266252	1562	1		0.0708984	12.1502	47.5239	0	54.7665	-1.57023	
2026-08-14 11:32:33	126	182	1	5.5	0	0	0	5.5	1.5	0	0	5.5	0.5	0	0	5.5	1	0	0	5.5	0.75	0.259		28.567	320.493	14.7477	0	516.25	0.235691	1621.85	1		0.0708984	12.1325	47.5239	0	54.7665	-1.57023	
2026-08-14 11:32:27	125	183	1	5	0	0	0	5	1.5	0	0	5	0.5	0	0	5	1	0	0	5	0.75	0.259		32.9076	277.758	12.636	0	383.985	0.233862	1206.32	1		0.0620361	12.1325	47.6539	0	54.7665	-1.57023	
2026-08-14 11:32:22	124	184	1	4.5	0	0	0	4.5	1.5	0	0	4.5	0.5	0	0	4.5	1	0	0	4.5	0.75	0.259		34.5463	264.868	13.0593	0	378.023	0.268534	1187.59	1		0.0708984	12.1325	47.5239	0	54.7665	-1.57023	
2026-08-14 11:32:16	123	185	1	4	0	0	0	4	1.5	0	0	4	0.5	0	0	4	1	0	0	4	0.75	0.259		34.4193	271.948	12.1079	0	351.776	0.285949	1105.14	1		0.0708984	12.1325	47.5239	0	54.7665	-1.57023	
