Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 11:29:07	98	86	1	7.5	0.5	0	0	7.5	1	0	0	7.5	0	0	0	7.5	1.5	0	0	7.5	0.75	0.259		22.9243	404.156	14.5866	0	636.292	0.228104	1998.97	1		0.0708984	12.1414	47.394	0	54.7665	-1.57019	
2026-08-14 11:28:28	91	87	1	0.5	1	0	0	1	1	0	0	0	1	0	0	7.5	1	0	0	2.25	1	0.262		35.3226	259.112	3.59831	0	101.87	0.312804	633.11	1		0.0620361	12.1414	47.394	0	54.7665	-1.5702	
2026-08-14 11:28:22	90	88	1	6	0.5	0	0	6.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	5	0.5	0.478		26.8265	338.66	3.03458	0	113.119	0.271702	2053.26	1		0.0620361	12.1414	47.394	0	54.7665	-1.5702	
2026-08-14 11:28:11	88	89	1	5	0.5	0	0	5.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	4.5	0.5	0.951		25.5496	359.37	0.868295	0	33.9846	0.360027	1806.81	1		0.0620361	12.1325	47.394	0	54.7665	-1.57019	
2026-08-14 11:28:33	92	90	1	0.5	1.5	0	0	1	1.5	0	0	0	1.5	0	0	7.5	1.5	0	0	2.25	1.5	0.262		39.3663	232.038	3.27204	0	83.1178	0.323779	516.568	1		0.0620361	12.1325	47.394	0	54.7664	-1.57019	
2026-08-14 11:27:54	85	91	1	4	0	0	0	4.5	0	0	0	0	0	0	0	7.5	0	0	0	4	0	1.366		34.6603	274.76	0.805298	0	23.234	0.353271	1936.2	1		0.0708984	12.1325	47.394	0	54.7665	-1.57016	
2026-08-14 11:27:48	84	92	1	3.5	0	0	0	4	0	0	0	0	0	0	0	7.5	0	0	0	3.75	0	1.431		33.5102	267.496	0.68208	0	20.3544	0.823803	1790.47	1		0.0620361	12.1325	47.5239	0	54.7665	-1.57015	
2026-08-14 11:27:42	83	93	1	3	0	0	0	3.5	0	0	0	0	0	0	0	7.5	0	0	0	3.5	0	1.366		31.5298	290.896	0.676643	0	21.4604	1.80883	1788.4	1		0.0620361	12.1414	47.5239	0	54.7665	-1.57015	
2026-08-14 11:27:37	82	94	1	0.5	0	0	0	1	0	0	0	0	0	0	0	7.5	0	0	0	2.25	0	0.262		25.4205	362.842	10.8267	0	425.904	0.235102	2646.95	1		0.0620361	12.1502	47.5239	0	54.7665	-1.57015	
2026-08-14 11:27:31	81	95	1	7.5	0	0	0	7.5	1.5	0	0	7.5	0.5	0	0	7.5	1	0	0	7.5	0.75	0.259		24.7499	374.669	15.7858	0	637.813	0.22173	2003.75	1		0.0620361	12.1414	47.5239	0	54.7665	-1.57015	
2026-08-14 11:27:19	79	96	1	6.5	0	0	0	6.5	1.5	0	0	6.5	0.5	0	0	6.5	1	0	0	6.5	0.75	0.259		27.3703	335.291	13.6098	0	497.248	0.266214	1562.15	1		0.0620361	12.1502	47.5239	0	54.7665	-1.57015	
2026-08-14 11:27:08	77	97	1	5.5	0	0	0	5.5	1.5	0	0	5.5	0.5	0	0	5.5	1	0	0	5.5	0.75	0.259		28.5673	319.872	14.7459	0	516.182	0.23367	1621.63	1		0.0620361	12.1502	47.5239	0	54.7665	-1.57016	
2026-08-14 11:27:03	76	98	1	5	0	0	0	5	1.5	0	0	5	0.5	0	0	5	1	0	0	5	0.75	0.259		32.9134	277.46	12.6392	0	384.013	0.236012	1206.41	1		0.0620361	12.1502	47.264	0	54.7665	-1.57016	
2026-08-14 11:26:57	75	99	1	4.5	0	0	0	4.5	1.5	0	0	4.5	0.5	0	0	4.5	1	0	0	4.5	0.75	0.259		34.6069	265.058	13.0827	0	378.037	0.259007	1187.64	1		0.0620361	12.1414	47.6539	0	54.7665	-1.57016	
2026-08-14 11:26:51	74	100	1	4	0	0	0	4	1.5	0	0	4	0.5	0	0	4	1	0	0	4	0.75	0.259		34.4818	271.452	12.1331	0	351.87	0.284079	1105.43	1		0.0620361	12.1414	47.264	0	54.7665	-1.57016	
2026-08-14 11:29:02	97	101	1	5.5	0.5	0	0	5.5	1	0	0	5.5	0	0	0	5.5	1.5	0	0	5.5	0.75	0.259		29.5965	310.066	15.2877	0	516.538	0.278467	1622.75	1		0.0708984	12.1414	47.394	0	54.7665	-1.5702	
2026-08-14 11:26:45	73	102	1	3.5	0	0	0	3.5	1.5	0	0	3.5	0.5	0	0	3.5	1	0	0	3.5	0.75	0.259		32.0721	286.42	11.4221	0	356.139	0.329839	1118.84	1		0.0620361	12.1414	47.6539	0	54.7665	-1.57016	
2026-08-14 11:28:39	93	103	1	1	1.5	0	0	1.5	1.5	0	0	0	1.5	0	0	7.5	1.5	0	0	2.5	1.5	0.478		40.4054	228.165	1.85063	0	45.8016	0.329347	831.365	1		0.0620361	12.1414	47.394	0	54.7665	-1.57019	
2026-08-14 11:26:40	72	104	1	3	0	0	0	3	1.5	0	0	3	0.5	0	0	3	1	0	0	3	0.75	0.259		32.7273	279.883	11.1488	0	340.657	0.304945	1070.21	1		0.0620361	12.1325	47.6539	0	54.7665	-1.57017	
2026-08-14 11:28:16	89	105	1	5.5	0.5	0	0	6	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	4.75	0.5	0.706		27.3665	336.563	1.34028	0	48.9752	0.321727	1692.46	1		0.0620361	12.1414	47.394	0	54.7665	-1.5702	
2026-08-14 11:26:23	69	106	1	1.5	0	0	0	1.5	1.5	0	0	1.5	0.5	0	0	1.5	1	0	0	1.5	0.75	0.259		30.0185	307.051	9.6439	0	321.265	0.387628	1009.28	1		0.0620361	12.1414	47.7838	0	54.7665	-1.5702	
