Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 11:23:44	49	1	1	7.5	0.5	0	0	7.5	1	0	0	7.5	0	0	0	7.5	1.5	0	0	7.5	0.75	0.259		23.1127	399.864	14.7022	0	636.111	0.235327	1998.4	1		0.0620361	12.1414	47.5239	0	54.7665	-1.57019	
2026-08-14 11:23:05	42	2	1	0.5	1	0	0	1	1	0	0	0	1	0	0	7.5	1	0	0	2.25	1	0.262		35.3803	259.12	3.60402	0	101.865	0.304711	633.08	1		0.0620361	12.1502	47.6539	0	54.7665	-1.57018	
2026-08-14 11:22:59	41	3	1	6	0.5	0	0	6.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	5	0.5	0.478		26.8891	338.491	3.04091	0	113.091	0.265784	2052.76	1		0.0620361	12.1414	47.7838	0	54.7665	-1.57018	
2026-08-14 11:22:48	39	4	1	5	0.5	0	0	5.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	4.5	0.5	0.951		25.6094	359.787	0.86999	0	33.9714	0.331158	1806.11	1		0.0620361	12.1414	47.9138	0	54.7665	-1.57019	
2026-08-14 11:23:10	43	5	1	0.5	1.5	0	0	1	1.5	0	0	0	1.5	0	0	7.5	1.5	0	0	2.25	1.5	0.262		39.436	232.132	3.27744	0	83.1079	0.295306	516.506	1		0.0620361	12.1502	47.7838	0	54.7665	-1.57018	
2026-08-14 11:22:31	36	6	1	4	0	0	0	4.5	0	0	0	0	0	0	0	7.5	0	0	0	4	0	1.366		34.6684	274.198	0.805383	0	23.231	0.33974	1935.95	1		0.0620361	12.1414	47.9138	0	54.7665	-1.57018	
2026-08-14 11:22:25	35	7	1	3.5	0	0	0	4	0	0	0	0	0	0	0	7.5	0	0	0	3.75	0	1.431		33.5743	267.58	0.68308	0	20.3453	0.828322	1789.67	1		0.0620361	12.1502	48.0437	0	54.7665	-1.57017	
2026-08-14 11:22:19	34	8	1	3	0	0	0	3.5	0	0	0	0	0	0	0	7.5	0	0	0	3.5	0	1.366		31.4716	290.278	0.675254	0	21.456	1.85911	1788.03	1		0.0620361	12.1502	48.0437	0	54.7665	-1.57017	
2026-08-14 11:22:14	33	9	1	0.5	0	0	0	1	0	0	0	0	0	0	0	7.5	0	0	0	2.25	0	0.262		25.4826	363.211	10.8545	0	425.96	0.234383	2647.29	1		0.0620361	12.1414	48.0437	0	54.7665	-1.57017	
2026-08-14 11:22:08	32	10	1	7.5	0	0	0	7.5	1.5	0	0	7.5	0.5	0	0	7.5	1	0	0	7.5	0.75	0.259		24.8142	372.38	15.8272	0	637.828	0.229314	2003.79	1		0.0620361	12.1502	48.0437	0	54.7665	-1.57017	
2026-08-14 11:21:57	30	11	1	6.5	0	0	0	6.5	1.5	0	0	6.5	0.5	0	0	6.5	1	0	0	6.5	0.75	0.259		27.4269	335.599	13.6383	0	497.26	0.265238	1562.19	1		0.0620361	12.1414	48.0437	0	54.7665	-1.57019	
2026-08-14 11:21:46	28	12	1	5.5	0	0	0	5.5	1.5	0	0	5.5	0.5	0	0	5.5	1	0	0	5.5	0.75	0.259		28.629	319.848	14.772	0	515.981	0.236846	1621	1		0.0620361	12.1502	48.1737	0	54.7665	-1.57019	
2026-08-14 11:21:40	27	13	1	5	0	0	0	5	1.5	0	0	5	0.5	0	0	5	1	0	0	5	0.75	0.259		32.9695	277.567	12.6576	0	383.919	0.229451	1206.12	1		0.0620361	12.1502	48.1737	0	54.7665	-1.57019	
2026-08-14 11:21:34	26	14	1	4.5	0	0	0	4.5	1.5	0	0	4.5	0.5	0	0	4.5	1	0	0	4.5	0.75	0.259		34.6083	264.82	13.0822	0	378.009	0.268333	1187.55	1		0.0620361	12.1414	48.1737	0	54.7665	-1.57018	
2026-08-14 11:21:29	25	15	1	4	0	0	0	4	1.5	0	0	4	0.5	0	0	4	1	0	0	4	0.75	0.259		34.5495	270.79	12.1603	0	351.968	0.287	1105.74	1		0.0620361	12.1414	48.3036	0	54.7664	-1.57017	
2026-08-14 11:23:38	48	16	1	5.5	0.5	0	0	5.5	1	0	0	5.5	0	0	0	5.5	1.5	0	0	5.5	0.75	0.259		29.5952	309.624	15.2797	0	516.292	0.281745	1621.98	1		0.0531738	12.1325	47.6539	0	54.7665	-1.57018	
2026-08-14 11:21:23	24	17	1	3.5	0	0	0	3.5	1.5	0	0	3.5	0.5	0	0	3.5	1	0	0	3.5	0.75	0.259		32.0805	286.285	11.425	0	356.136	0.338765	1118.83	1		0.0620361	12.1325	48.3036	0	54.7664	-1.57016	
