Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 12:01:45	278	374	1	7.5	0.5	0	0	7.5	1	0	0	7.5	0	0	0	7.5	1.5	0	0	7.5	0.75	0.259		22.4402	413.312	14.1122	0	628.88	0.23007	1975.69	1		0.0620361	12.1325	50.6426	0	54.7664	-1.57019	
2026-08-14 12:01:05	271	375	1	0.5	1	0	0	1	1	0	0	0	1	0	0	7.5	1	0	0	2.25	1	0.262		35.2071	260.011	3.58757	0	101.899	0.30689	633.292	1		0.0620361	12.1325	51.0325	0	54.7665	-1.57022	
2026-08-14 12:01:00	270	376	1	6	0.5	0	0	6.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	5	0.5	0.478		27.0762	336.72	3.25217	0	120.112	0.229752	2180.21	1		0.0620361	12.1236	51.0325	0	54.7665	-1.57022	
2026-08-14 12:00:48	268	377	1	5	0.5	0	0	5.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	4.5	0.5	0.951		28.2081	325.537	0.991938	0	35.165	0.227062	1869.56	1		0.0620361	12.1236	51.1624	0	54.7665	-1.57022	
2026-08-14 12:01:11	272	378	1	0.5	1.5	0	0	1	1.5	0	0	0	1.5	0	0	7.5	1.5	0	0	2.25	1.5	0.262		39.2588	232.681	3.2638	0	83.1354	0.320156	516.677	1		0.0620361	12.1236	51.0325	0	54.7665	-1.57022	
2026-08-14 12:00:31	265	379	1	4	0	0	0	4.5	0	0	0	0	0	0	0	7.5	0	0	0	4	0	1.366		34.6113	275.204	0.777091	0	22.4519	0.395056	1871.03	1		0.0620361	12.1236	51.4223	0	54.7665	-1.57024	
2026-08-14 12:00:26	264	380	1	3.5	0	0	0	4	0	0	0	0	0	0	0	7.5	0	0	0	3.75	0	1.431		33.3953	268.147	0.666579	0	19.9602	0.934879	1755.79	1		0.0620361	12.1236	51.4223	0	54.7665	-1.57024	
2026-08-14 12:00:20	263	381	1	3	0	0	0	3.5	0	0	0	0	0	0	0	7.5	0	0	0	3.5	0	1.366		31.4784	291.318	0.679284	0	21.5794	1.92635	1798.32	1		0.0620361	12.1325	51.4223	0	54.7665	-1.57024	
2026-08-14 12:00:15	262	382	1	0.5	0	0	0	1	0	0	0	0	0	0	0	7.5	0	0	0	2.25	0	0.262		25.37	364.667	10.792	0	425.383	0.249506	2643.71	1		0.0620361	12.1236	51.5523	0	54.7665	-1.57024	
2026-08-14 12:00:09	261	383	1	7.5	0	0	0	7.5	1.5	0	0	7.5	0.5	0	0	7.5	1	0	0	7.5	0.75	0.259		24.4571	378.864	15.4813	0	632.997	0.225164	1988.62	1		0.0620361	12.1325	51.5523	0	54.7665	-1.57023	
2026-08-14 11:59:58	259	384	1	6.5	0	0	0	6.5	1.5	0	0	6.5	0.5	0	0	6.5	1	0	0	6.5	0.75	0.259		27.4397	335.917	12.1654	0	443.35	0.306644	1392.83	1		0.0620361	12.1236	51.6822	0	54.7665	-1.57024	
2026-08-14 11:59:46	257	385	1	5.5	0	0	0	5.5	1.5	0	0	5.5	0.5	0	0	5.5	1	0	0	5.5	0.75	0.259		28.5143	321.471	13.5906	0	476.625	0.244286	1497.36	1		0.0620361	12.1236	51.9421	0	54.7665	-1.57026	
2026-08-14 11:59:41	256	386	1	5	0	0	0	5	1.5	0	0	5	0.5	0	0	5	1	0	0	5	0.75	0.259		32.9213	277.484	9.47722	0	287.875	0.275218	904.385	1		0.0620361	12.1236	51.8122	0	54.7665	-1.57027	
2026-08-14 11:59:35	255	387	1	4.5	0	0	0	4.5	1.5	0	0	4.5	0.5	0	0	4.5	1	0	0	4.5	0.75	0.259		37.1362	246.723	11.6397	0	313.431	0.280831	984.674	1		0.0620361	12.1236	52.072	0	54.7665	-1.57027	
2026-08-14 11:59:29	254	388	1	4	0	0	0	4	1.5	0	0	4	0.5	0	0	4	1	0	0	4	0.75	0.259		34.4927	270.575	10.4191	0	302.068	0.278398	948.973	1		0.0620361	12.1236	52.072	0	54.7665	-1.57027	
