Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 12:07:22	327	459	1	7.5	0.5	0	0	7.5	1	0	0	7.5	0	0	0	7.5	1.5	0	0	7.5	0.75	0.259		22.3823	413.419	13.169	0	588.366	0.246577	1848.41	1		0.0708984	12.1236	49.2132	0	54.7665	-1.57022	
2026-08-14 12:06:42	320	460	1	0.5	1	0	0	1	1	0	0	0	1	0	0	7.5	1	0	0	2.25	1	0.262		35.1445	259.853	3.58181	0	101.917	0.308234	633.401	1		0.0708984	12.1236	49.3432	0	54.7665	-1.57021	
2026-08-14 12:06:37	319	461	1	6	0.5	0	0	6.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	5	0.5	0.478		27.0696	335.864	3.55638	0	131.379	0.28168	2384.72	1		0.0708984	12.1236	49.4731	0	54.7665	-1.57022	
2026-08-14 12:06:25	317	462	1	5	0.5	0	0	5.5	0.5	0	0	0	0.5	0	0	7.5	0.5	0	0	4.5	0.5	0.951		28.2029	325.241	1.02028	0	36.1763	0.246369	1923.33	1		0.0708984	12.1148	49.4731	0	54.7665	-1.57021	
2026-08-14 12:06:48	321	463	1	0.5	1.5	0	0	1	1.5	0	0	0	1.5	0	0	7.5	1.5	0	0	2.25	1.5	0.262		39.2558	232.802	3.26383	0	83.1426	0.311719	516.722	1		0.0708984	12.1148	49.3432	0	54.7665	-1.57021	
2026-08-14 12:06:08	314	464	1	4	0	0	0	4.5	0	0	0	0	0	0	0	7.5	0	0	0	4	0	1.366		34.607	275.559	0.779389	0	22.5211	0.339407	1876.79	1		0.0708984	12.1236	49.6031	0	54.7665	-1.57019	
2026-08-14 12:06:03	313	465	1	3.5	0	0	0	4	0	0	0	0	0	0	0	7.5	0	0	0	3.75	0	1.431		33.3357	267.899	0.668019	0	20.0392	0.893975	1762.74	1		0.0708984	12.1148	49.6031	0	54.7665	-1.57018	
2026-08-14 12:05:57	312	466	1	3	0	0	0	3.5	0	0	0	0	0	0	0	7.5	0	0	0	3.5	0	1.366		31.4758	291.269	0.680616	0	21.6235	1.86111	1801.99	1		0.0708984	12.1236	49.6031	0	54.7665	-1.57018	
2026-08-14 12:05:51	311	467	1	0.5	0	0	0	1	0	0	0	0	0	0	0	7.5	0	0	0	2.25	0	0.262		25.3652	365.093	10.7921	0	425.47	0.226704	2644.25	1		0.0708984	12.1325	49.6031	0	54.7665	-1.57017	
2026-08-14 12:05:46	310	468	1	7.5	0	0	0	7.5	1.5	0	0	7.5	0.5	0	0	7.5	1	0	0	7.5	0.75	0.259		24.3919	379.791	14.6894	0	602.224	0.243815	1891.94	1		0.0708984	12.1236	49.733	0	54.7665	-1.57017	
