Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-08-14 11:42:55	228	256	1	3	1	0	0	3.5	0.5	0	0	2.5	1.5	0	0	4	0	0	0	3.25	0.75	0.367		32.1245	284.931	9.58507	0	298.372	0.261749	1325.63	1		0.0797607	12.1325	47.6539	0	54.7664	-1.57008	
2026-08-14 11:42:49	227	257	1	2	1	0	0	2.5	0.5	0	0	1.5	1.5	0	0	3	0	0	0	2.25	0.75	0.367		28.7964	318.232	6.68153	0	232.027	0.306263	1030.87	1		0.0797607	12.1325	47.6539	0	54.7664	-1.57009	
2026-08-14 11:42:38	225	258	1	6.5	0.5	0	0	7	1	0	0	6	0	0	0	7.5	1.5	0	0	6.75	0.75	0.367		27.1186	340.943	10.1341	0	373.695	0.277655	1660.28	1		0.0708984	12.1236	47.6539	0	54.7664	-1.57011	
2026-08-14 11:42:32	224	259	1	5.5	0.5	0	0	6	1	0	0	5	0	0	0	6.5	1.5	0	0	5.75	0.75	0.367		29.7679	308.351	11.1631	0	375.005	0.246767	1666.1	1		0.0797607	12.1325	47.6539	0	54.7664	-1.57011	
2026-08-14 11:42:26	223	260	1	4.5	0.5	0	0	5	1	0	0	4	0	0	0	5.5	1.5	0	0	4.75	0.75	0.367		33.2632	274.898	10.8143	0	325.114	0.247075	1444.44	1		0.0708984	12.1325	47.6539	0	54.7664	-1.57012	
2026-08-14 11:42:09	220	261	1	5	0.5	0	0	5	1	0	0	5	0	0	0	5	1.5	0	0	5	0.75	0.259		28.1359	325.71	10.8046	0	384.015	0.252322	1206.42	1		0.0708984	12.1325	47.6539	0	54.7664	-1.57012	
2026-08-14 11:36:47	163	262	1	0	1.5	0	0	7.5	1.5	0	0	6.5	1.5	0	0	7	1.5	0	0	5.25	1.5	0.262		31.5328	285.307	3.93783	0	124.88	0.261992	776.118	1		0.0708984	12.1325	47.9138	0	54.7665	-1.57017	
2026-08-14 11:36:41	162	263	3	0	1.5	0	0	7.5	1.5	0	0	5.5	1.5	0	0	6	1.5	0	0	4.75	1.5	0.706		31.6532	286.636	0.79239	0	25.0335	0.214966	865.095	1		0.0708984	12.1059	47.9138	0	54.7664	-1.57017	
2026-08-14 11:35:10	148	264	4	0	0	0	0	7.5	0	0	0	2	0	0	0	2.5	0	0	0	3	0	0.951		21.9535	419.512	0.606533	0	27.6281	0.181456	1468.86	1		0.0708984	12.1857	48.1737	0	54.7665	-1.57016	
2026-08-14 11:36:35	161	265	3	0	1.5	0	0	7.5	1.5	0	0	3.5	1.5	0	0	4	1.5	0	0	3.75	1.5	1.431		31.5285	286.122	0.459049	0	14.5598	0.102935	1280.75	1		0.0708984	12.0439	47.9138	0	54.7664	-1.57016	
2026-08-14 11:41:24	212	266	1	5	1	0	0	5.5	1	0	0	0	1	0	0	7.5	1	0	0	4.5	1	0.951		33.6848	271.206	0.770421	0	22.8714	0.272993	1215.97	1		0.0708984	12.1325	47.6539	0	54.7664	-1.57015	
2026-08-14 11:36:35	161	267	1	0	1.5	0	0	7.5	1.5	0	0	2.5	1.5	0	0	3	1.5	0	0	3.25	1.5	1.19		31.5285	286.122	0.585043	0	18.556	0.179614	1311.65	1		0.0708984	12.0439	47.9138	0	54.7664	-1.57016	
2026-08-14 11:36:29	160	268	4	0	1.5	0	0	7.5	1.5	0	0	2	1.5	0	0	2.5	1.5	0	0	3	1.5	0.951		31.5322	287.848	0.586136	0	18.5885	0.198829	988.265	1		0.0708984	12.1414	47.7838	0	54.7664	-1.57015	
2026-08-14 11:38:41	183	269	1	1.5	0	0	0	3	1.5	0	0	2	0.5	0	0	2.5	1	0	0	2.25	0.75	0.367		28.8593	318.011	6.81815	0	236.255	0.321959	1049.65	1		0.0708984	12.1325	47.7838	0	54.7665	-1.57022	
2026-08-14 11:36:29	160	270	2	0	1.5	0	0	7.5	1.5	0	0	1	1.5	0	0	1.5	1.5	0	0	2.5	1.5	0.478		31.5322	287.848	1.45098	0	46.0159	0.267404	835.254	1		0.0708984	12.1414	47.7838	0	54.7664	-1.57015	
