Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-07-30 14:35:05	811	1987	1	13	0.5	0	0	13.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	10.5	0.5	0.874		21.3755	431.483	0.117076	0	5.47712	3.16315	334.604	1		0.0177246	12.292	42.4561	0	54.7664	-1.57	
2026-07-30 14:34:59	810	1988	1	12	0.5	0	0	12.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	10	0.5	1.309		23.0735	398.435	0.0482063	0	2.08926	8.34952	257.636	1		0.0177246	12.292	42.4561	0	54.7664	-1.57	
2026-07-30 14:34:48	808	1989	1	5	0.5	0	0	5.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	6.5	0.5	2.274		31.3706	291.45	0.0694924	0	2.21521	8.17297	606.639	1		0.0177246	12.2832	42.586	0	54.7664	-1.56998	
2026-07-30 14:34:42	807	1990	1	3	0.5	0	0	3.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	5.5	0.5	1.309		26.666	345.206	0.219747	0	8.24073	3.1978	1016.2	1		0.0177246	12.292	42.7159	0	54.7664	-1.56998	
2026-07-30 14:34:31	805	1991	1	12.5	0	0	0	13	0	0	0	0	0	0	0	15.5	0	0	0	10.25	0	1.087		28.4646	323.254	0.0874181	0	3.07111	3.36758	276.676	1		0.0177246	12.2832	42.8459	0	54.7664	-1.56998	
2026-07-30 14:34:25	804	1992	1	12	0	0	0	12.5	0	0	0	0	0	0	0	15.5	0	0	0	10	0	1.309		28.8912	317.271	0.0542736	0	1.87855	6.00343	231.654	1		0.0177246	12.2832	42.9758	0	54.7664	-1.56998	
2026-07-30 14:34:20	803	1993	1	7.5	0	0	0	8	0	0	0	0	0	0	0	15.5	0	0	0	7.75	0	2.967		45.6408	202.265	0.0301845	0	0.66135	12.3876	249.323	1		0.0177246	12.292	42.9758	0	54.7664	-1.56998	
2026-07-30 14:34:14	802	1994	1	5	0	0	0	5.5	0	0	0	0	0	0	0	15.5	0	0	0	6.5	0	2.274		29.4972	307.524	0.0754169	0	2.55675	5.93523	700.172	1		0.0088623	12.292	42.9758	0	54.7664	-1.56999	
2026-07-30 14:34:03	800	1995	1	3	0	0	0	3.5	0	0	0	0	0	0	0	15.5	0	0	0	5.5	0	1.309		29.8021	308.487	0.255033	0	8.55753	2.47603	1055.27	1		0.0177246	12.2832	43.2357	0	54.7665	-1.56999	
2026-07-30 14:33:51	798	1996	1	0	0.5	0	0	15.5	0.5	0	0	14.5	0.5	0	0	15	0.5	0	0	11.25	0.5	0.26		30.2217	300.871	2.3091	0	76.4052	0.31818	478.967	1		0.0177246	12.2743	43.3657	0	54.7665	-1.57	
2026-07-30 14:33:44	797	1997	4	0	0.5	0	0	15.5	0.5	0	0	14	0.5	0	0	14.5	0.5	0	0	11	0.5	0.466		30.052	299.11	0.511274	0	17.013	0.0873518	318.335	1		0.0088623	12.2832	43.4956	0	54.7665	-1.57001	
2026-07-30 14:33:44	797	1998	2	0	0.5	0	0	15.5	0.5	0	0	13	0.5	0	0	13.5	0.5	0	0	10.5	0.5	0.874		30.052	299.11	0.164935	0	5.48831	0.0882432	335.288	1		0.0088623	12.2832	43.4956	0	54.7665	-1.57001	
2026-07-30 14:33:44	797	1999	1	0	0.5	0	0	15.5	0.5	0	0	12.5	0.5	0	0	13	0.5	0	0	10.25	0.5	1.087		30.052	299.11	0.091526	0	3.04559	0.156503	274.376	1		0.0088623	12.2832	43.4956	0	54.7665	-1.57001	
2026-07-30 14:33:38	796	2000	4	0	0.5	0	0	15.5	0.5	0	0	12	0.5	0	0	12.5	0.5	0	0	10	0.5	1.309		30.0471	299.99	0.0630688	0	2.099	0.192809	258.837	1		0.0177246	12.2832	43.4956	0	54.7665	-1.57002	
2026-07-30 14:33:27	794	2001	3	0	0.5	0	0	15.5	0.5	0	0	7.5	0.5	0	0	8	0.5	0	0	7.75	0.5	2.967		29.9944	300.267	0.0160951	0	0.536604	0.756608	202.295	1		0.0088623	12.2123	43.7555	0	54.7665	-1.57002	
2026-07-30 14:34:54	809	2002	1	6.5	0.5	0	0	7	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	7.25	0.5	2.843		22.3472	413.511	0.0299253	0	1.33911	16.5321	480.107	1		0.0177246	12.292	42.586	0	54.7664	-1.56999	
2026-07-30 14:33:27	794	2003	4	0	0.5	0	0	15.5	0.5	0	0	8	0.5	0	0	8.5	0.5	0	0	8	0.5	2.935		29.9944	300.267	0.017082	0	0.569506	1.06938	212.026	1		0.0088623	12.2123	43.7555	0	54.7665	-1.57002	
2026-07-30 14:32:48	788	2004	2	0	0	0	0	15.5	0	0	0	11	0	0	0	11.5	0	0	0	9.5	0	1.783		36.4371	246.682	0.0381247	0	1.04632	0.0248992	207.19	1		0.0088623	12.2034	44.2753	0	54.7665	-1.57002	
2026-07-30 14:33:38	796	2005	1	0	0.5	0	0	15.5	0.5	0	0	10.5	0.5	0	0	11	0.5	0	0	9.25	0.5	2.03		30.0471	299.99	0.0270614	0	0.900632	0.210344	213.129	1		0.0177246	12.2832	43.4956	0	54.7665	-1.57002	
2026-07-30 14:32:43	787	2006	2	0	0	0	0	15.5	0	0	0	9	0	0	0	9.5	0	0	0	8.5	0	2.694		36.4972	246.985	0.0229686	0	0.629326	0.166449	211.81	1		0.0088623	12.2832	44.4052	0	54.7665	-1.57002	
2026-07-30 14:32:43	787	2007	1	0	0	0	0	15.5	0	0	0	8.5	0	0	0	9	0	0	0	8.25	0	2.843		36.4972	246.985	0.0232038	0	0.635769	0.193995	227.941	1		0.0088623	12.2832	44.4052	0	54.7665	-1.57002	
