Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-07-30 14:55:11	871	2131	1	13	0.5	0	0	13.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	10.5	0.5	0.874		21.1911	434.171	0.116108	0	5.4791	3.526	334.726	1		0.0177246	12.2743	43.3657	0	54.7665	-1.56994	
2026-07-30 14:55:05	870	2132	1	12	0.5	0	0	12.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	10	0.5	1.309		22.9521	401.134	0.0481148	0	2.09631	8.50635	258.506	1		0.0177246	12.2566	43.3657	0	54.7665	-1.56994	
2026-07-30 14:54:54	868	2133	1	5	0.5	0	0	5.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	6.5	0.5	2.274		31.2486	292.698	0.0695945	0	2.22713	7.76873	609.904	1		0.0177246	12.2743	43.4956	0	54.7665	-1.56995	
2026-07-30 14:54:48	867	2134	1	3	0.5	0	0	3.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	5.5	0.5	1.309		26.5414	346.654	0.218983	0	8.25061	3.07378	1017.42	1		0.0177246	12.2566	43.4956	0	54.7665	-1.56996	
2026-07-30 14:54:37	865	2135	1	12.5	0	0	0	13	0	0	0	0	0	0	0	15.5	0	0	0	10.25	0	1.087		28.3454	325.23	0.0871212	0	3.07356	3.49771	276.896	1		0.0177246	12.2654	43.7555	0	54.7665	-1.56997	
2026-07-30 14:54:31	864	2136	1	12	0	0	0	12.5	0	0	0	0	0	0	0	15.5	0	0	0	10	0	1.309		28.7681	318.706	0.0542415	0	1.88548	6.0987	232.507	1		0.0177246	12.2566	43.7555	0	54.7665	-1.56997	
2026-07-30 14:54:26	863	2137	1	7.5	0	0	0	8	0	0	0	0	0	0	0	15.5	0	0	0	7.75	0	2.967		44.8438	206.575	0.0288091	0	0.642431	13.5085	242.191	1		0.0088623	12.2566	43.7555	0	54.7665	-1.56998	
2026-07-30 14:54:20	862	2138	1	5	0	0	0	5.5	0	0	0	0	0	0	0	15.5	0	0	0	6.5	0	2.274		29.3153	309.03	0.0750664	0	2.56065	5.74752	701.241	1		0.0177246	12.2654	43.8855	0	54.7665	-1.56998	
2026-07-30 14:54:09	860	2139	1	3	0	0	0	3.5	0	0	0	0	0	0	0	15.5	0	0	0	5.5	0	1.309		29.6158	309.111	0.252874	0	8.53849	2.44359	1052.92	1		0.0177246	12.2566	44.1454	0	54.7665	-1.56998	
2026-07-30 14:53:57	858	2140	1	0	0.5	0	0	15.5	0.5	0	0	14.5	0.5	0	0	15	0.5	0	0	11.25	0.5	0.26		29.7421	306.092	2.26894	0	76.2871	0.3063	478.227	1		0.0177246	12.1857	44.2753	0	54.7665	-1.56998	
2026-07-30 14:53:50	857	2141	4	0	0.5	0	0	15.5	0.5	0	0	14	0.5	0	0	14.5	0.5	0	0	11	0.5	0.466		29.5648	304.139	0.503025	0	17.0143	0.0953417	318.36	1		0.0177246	12.1857	44.2753	0	54.7665	-1.56998	
2026-07-30 14:53:50	857	2142	2	0	0.5	0	0	15.5	0.5	0	0	13	0.5	0	0	13.5	0.5	0	0	10.5	0.5	0.874		29.5648	304.139	0.162394	0	5.4928	0.118552	335.563	1		0.0177246	12.1857	44.2753	0	54.7665	-1.56998	
2026-07-30 14:53:50	857	2143	1	0	0.5	0	0	15.5	0.5	0	0	12.5	0.5	0	0	13	0.5	0	0	10.25	0.5	1.087		29.5648	304.139	0.0900645	0	3.04634	0.0781361	274.444	1		0.0177246	12.1857	44.2753	0	54.7665	-1.56998	
2026-07-30 14:53:44	856	2144	4	0	0.5	0	0	15.5	0.5	0	0	12	0.5	0	0	12.5	0.5	0	0	10	0.5	1.309		29.5654	305.061	0.062093	0	2.10019	0.18985	258.985	1		0.0177246	12.2566	44.4052	0	54.7665	-1.56998	
