Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2026-07-30 14:12:56	721	1771	1	13	0.5	0	0	13.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	10.5	0.5	0.874		21.5617	427.735	0.1178	0	5.4634	3.38869	333.767	1		0.0088623	12.3097	38.9475	0	54.7665	-1.57004	
2026-07-30 14:12:51	720	1772	1	12	0.5	0	0	12.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	10	0.5	1.309		23.2707	396.109	0.0486187	0	2.08927	9.72773	257.638	1		0.0088623	12.3097	39.2074	0	54.7665	-1.57004	
2026-07-30 14:12:40	718	1773	1	5	0.5	0	0	5.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	6.5	0.5	2.274		31.5581	290.243	0.0693137	0	2.19638	8.44636	601.484	1		0.0088623	12.3097	39.2074	0	54.7665	-1.57003	
2026-07-30 14:12:34	717	1774	1	3	0.5	0	0	3.5	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	5.5	0.5	1.309		26.8526	343.816	0.219306	0	8.16705	3.32301	1007.12	1		0.0088623	12.3097	39.2074	0	54.7665	-1.57002	
2026-07-30 14:12:23	715	1775	1	12.5	0	0	0	13	0	0	0	0	0	0	0	15.5	0	0	0	10.25	0	1.087		27.9936	330.373	0.0861831	0	3.07867	4.35904	277.357	1		0.0088623	12.3097	39.3374	0	54.7665	-1.57002	
2026-07-30 14:12:17	714	1776	1	12	0	0	0	12.5	0	0	0	0	0	0	0	15.5	0	0	0	10	0	1.309		29.0801	315.671	0.0545454	0	1.8757	7.43252	231.301	1		0.0088623	12.3097	39.3374	0	54.7665	-1.57002	
2026-07-30 14:12:11	713	1777	1	7.5	0	0	0	8	0	0	0	0	0	0	0	15.5	0	0	0	7.75	0	2.967		32.6388	278.842	0.0205018	0	0.628141	23.0603	236.804	1		0.0088623	12.3009	39.4673	0	54.7665	-1.57002	
2026-07-30 14:12:06	712	1778	1	5	0	0	0	5.5	0	0	0	0	0	0	0	15.5	0	0	0	6.5	0	2.274		29.807	305.661	0.076248	0	2.55806	7.02427	700.529	1		0.0088623	12.3097	39.4673	0	54.7665	-1.57001	
2026-07-30 14:11:54	710	1779	1	3	0	0	0	3.5	0	0	0	0	0	0	0	15.5	0	0	0	5.5	0	1.309		30.0433	307.184	0.25794	0	8.58559	2.96837	1058.73	1		0.0088623	12.3097	39.5972	0	54.7665	-1.57001	
2026-07-30 14:11:43	708	1780	1	0	0.5	0	0	15.5	0.5	0	0	14.5	0.5	0	0	15	0.5	0	0	11.25	0.5	0.26		25.8217	356.043	1.97401	0	76.4478	0.307664	479.234	1		0.0088623	12.3097	39.3374	0	54.7665	-1.57002	
2026-07-30 14:11:36	707	1781	4	0	0.5	0	0	15.5	0.5	0	0	14	0.5	0	0	14.5	0.5	0	0	11	0.5	0.466		25.7044	354.374	0.437213	0	17.0093	0.0510482	318.265	1		0.0088623	12.2388	39.7272	0	54.7665	-1.57002	
2026-07-30 14:11:36	707	1782	2	0	0.5	0	0	15.5	0.5	0	0	13	0.5	0	0	13.5	0.5	0	0	10.5	0.5	0.874		25.7044	354.374	0.141034	0	5.48676	0.175233	335.194	1		0.0088623	12.2388	39.7272	0	54.7665	-1.57002	
2026-07-30 14:11:36	707	1783	1	0	0.5	0	0	15.5	0.5	0	0	12.5	0.5	0	0	13	0.5	0	0	10.25	0.5	1.087		25.7044	354.374	0.0782881	0	3.04571	0.380892	274.387	1		0.0088623	12.2388	39.7272	0	54.7665	-1.57002	
2026-07-30 14:11:30	706	1784	4	0	0.5	0	0	15.5	0.5	0	0	12	0.5	0	0	12.5	0.5	0	0	10	0.5	1.309		25.6431	354.047	0.0537675	0	2.09676	0.484233	258.561	1		0.0088623	12.2388	39.8571	0	54.7665	-1.57003	
2026-07-30 14:11:19	704	1785	3	0	0.5	0	0	15.5	0.5	0	0	7.5	0.5	0	0	8	0.5	0	0	7.75	0.5	2.967		25.761	356.398	0.0142148	0	0.551795	0.648386	208.022	1		0.0088623	12.3009	39.8571	0	54.7665	-1.57003	
2026-07-30 14:12:45	719	1786	1	6.5	0.5	0	0	7	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	7.25	0.5	2.843		22.3451	413.861	0.0307929	0	1.37806	17.0431	494.073	1		0.0088623	12.3009	39.2074	0	54.7665	-1.57003	
2026-07-30 14:11:19	704	1787	4	0	0.5	0	0	15.5	0.5	0	0	8	0.5	0	0	8.5	0.5	0	0	8	0.5	2.935		25.761	356.398	0.0146195	0	0.567506	0.289457	211.281	1		0.0088623	12.3009	39.8571	0	54.7665	-1.57003	
2026-07-30 14:10:41	698	1788	2	0	0	0	0	15.5	0	0	0	11	0	0	0	11.5	0	0	0	9.5	0	1.783		30.8361	293.74	0.0322488	0	1.04581	0.0249088	207.09	1		0.0088623	12.3097	39.8571	0	54.7665	-1.57002	
2026-07-30 14:11:30	706	1789	1	0	0.5	0	0	15.5	0.5	0	0	10.5	0.5	0	0	11	0.5	0	0	9.25	0.5	2.03		25.6431	354.047	0.0230464	0	0.898734	0.189037	212.68	1		0.0088623	12.2388	39.8571	0	54.7665	-1.57003	
2026-07-30 14:10:35	697	1790	2	0	0	0	0	15.5	0	0	0	9	0	0	0	9.5	0	0	0	8.5	0	2.694		30.9602	295.271	0.019315	0	0.623865	0.0552478	209.972	1		0.0088623	12.2388	40.3769	0	54.7665	-1.57002	
2026-07-30 14:10:35	697	1791	1	0	0	0	0	15.5	0	0	0	8.5	0	0	0	9	0	0	0	8.25	0	2.843		30.9602	295.271	0.0189173	0	0.611019	0.373771	219.067	1		0.0088623	12.2388	40.3769	0	54.7665	-1.57002	
2026-07-30 14:10:48	699	1792	1	0	0	0	0	15.5	0	0	0	12.5	0	0	0	13	0	0	0	10.25	0	1.087		30.9632	294.376	0.0957757	0	3.09321	0.0151915	278.667	1		0.0088623	12.23	40.247	0	54.7665	-1.57002	
2026-07-30 14:10:29	696	1793	4	0	0	0	0	15.5	0	0	0	8	0	0	0	8.5	0	0	0	8	0	2.935		30.894	294.876	0.0189876	0	0.614604	0.306993	228.816	1		0.0088623	12.3097	40.5069	0	54.7665	-1.57002	
2026-07-30 14:11:00	701	1794	3	0	0.5	0	0	15.5	0.5	0	0	1.5	0.5	0	0	2	0.5	0	0	4.75	0.5	0.668		25.7075	357.58	0.624592	0	24.2961	0.231975	901.629	1		0.0088623	12.3097	40.117	0	54.7665	-1.57002	
2026-07-30 14:10:35	697	1795	3	0	0	0	0	15.5	0	0	0	9.5	0	0	0	10	0	0	0	8.75	0	2.5		30.9602	295.271	0.0222126	0	0.717456	0.142662	220.817	1		0.0088623	12.2388	40.3769	0	54.7665	-1.57002	
2026-07-30 14:10:29	696	1796	3	0	0	0	0	15.5	0	0	0	7.5	0	0	0	8	0	0	0	7.75	0	2.967		30.894	294.876	0.0193061	0	0.624914	0.853454	235.587	1		0.0088623	12.3097	40.5069	0	54.7665	-1.57002	
2026-07-30 14:11:13	703	1797	2	0	0.5	0	0	15.5	0.5	0	0	5	0.5	0	0	5.5	0.5	0	0	6.5	0.5	2.274		25.7652	356.823	0.0566856	0	2.20008	0.319924	602.497	1		0.0088623	12.3097	39.9871	0	54.7665	-1.57003	
2026-07-30 14:10:21	695	1798	3	0	0	0	0	15.5	0	0	0	5.5	0	0	0	6	0	0	0	6.75	0	2.5		30.8936	295.047	0.0659773	0	2.13563	0.0181103	657.301	1		0.0088623	12.2566	40.6368	0	54.7665	-1.57002	
2026-07-30 14:10:21	695	1799	2	0	0	0	0	15.5	0	0	0	5	0	0	0	5.5	0	0	0	6.5	0	2.274		30.8936	295.047	0.0793388	0	2.56813	0.231992	703.289	1		0.0088623	12.2566	40.6368	0	54.7665	-1.57002	
2026-07-30 14:10:48	699	1800	3	0	0	0	0	15.5	0	0	0	13.5	0	0	0	14	0	0	0	10.75	0	0.668		30.9632	294.376	0.343816	0	11.104	0.105761	412.071	1		0.0088623	12.23	40.247	0	54.7665	-1.57002	
2026-07-30 14:12:28	716	1801	1	14.5	0	0	0	15	0	0	0	0	0	0	0	15.5	0	0	0	11.25	0	0.26		29.6855	309.691	1.32656	0	44.6871	0.65644	280.133	1		0.0088623	12.3009	39.3374	0	54.7665	-1.57002	
2026-07-30 14:10:13	694	1802	4	0	0	0	0	15.5	0	0	0	4	0	0	0	4.5	0	0	0	6	0	1.783		30.7746	294.755	0.144621	0	4.69936	0.114752	930.559	1		0.0088623	12.3363	40.6368	0	54.7665	-1.57002	
2026-07-30 14:10:21	695	1803	4	0	0	0	0	15.5	0	0	0	6	0	0	0	6.5	0	0	0	7	0	2.694		30.8936	295.047	0.051293	0	1.66031	0.167692	558.806	1		0.0088623	12.2566	40.6368	0	54.7665	-1.57002	
2026-07-30 14:13:02	722	1804	1	14.5	0.5	0	0	15	0.5	0	0	0	0.5	0	0	15.5	0.5	0	0	11.25	0.5	0.26		32.5755	281.568	2.50006	0	76.7467	0.493174	481.108	1		0.0088623	12.3009	39.0775	0	54.7665	-1.57004	
2026-07-30 14:10:13	694	1805	3	0	0	0	0	15.5	0	0	0	3.5	0	0	0	4	0	0	0	5.75	0	1.541		30.7746	294.755	0.206824	0	6.72061	0.0174088	1073.45	1		0.0088623	12.3363	40.6368	0	54.7665	-1.57002	
2026-07-30 14:11:06	702	1806	1	0	0.5	0	0	15.5	0.5	0	0	2.5	0.5	0	0	3	0.5	0	0	5.25	0.5	1.087		25.6425	355.882	0.242704	0	9.46491	0.0104959	852.692	1		0.0088623	12.2388	39.9871	0	54.7665	-1.57003	
